loan_number,age,loan_amount,approved_amount,disbursed_amount,application_date,email,credit_score,region,tenure_years
0000853253,17,1547579.77,1142820.16,1136583.04,2021-08-16,nan,808,North,20
0000986626,19,1813384.69,1596660.14,1623259.64,2021-03-10,user1@none,361,unknown,15
0000080945,18,2672036.77,1943821.06,1880519.8,2023-09-02,user2@none,633,unknown,20
0000790023,34,221650.51,186884.92,187223.23,2021-02-03,user3@example.com,300,South,15
0000573751,32,2607593.29,2173970.91,2357651.09,2023-01-01,user4@none,538,East,15
0000020695,30,3538611.99,2536490.32,2390278.68,2021-01-26,user5@example.com,686,North,10
0000257291,12,4917100.16,3880661.79,4146472.12,2022-11-09,user6@none,300,North,10
0000137872,23,3469801.22,3359403.03,3603490.22,2021-05-13,user7@test.co,900,South,30
0000977694,25,2107526.01,1635630.94,1538732.2,2023-03-24,user8@test.co,900,East,30
0000939159,31,3943148.29,3471262.5,3552708.65,2021-06-13,user9@mail.org,397,South,20
0000392157,38,4025433.19,2958772.4,3228016.03,2021-08-29,nan,586,South,20
0000764491,35,4052595.17,3216956.23,2959281.32,2022-10-27,user11@none,474,unknown,20
0000095215,20,1089581.36,972218.74,886902.79,2023-02-28,user12@test.co,583,North,20
0000898284,17,1620854.09,1401314.09,1534777.24,2022-08-12,user13@test.co,598,East,20
0000457257,22,1961043.5,1568141.31,1462603.0,2022-10-30,user14@none,856,unknown,20
0000441976,17,528302.28,387214.48,362981.09,2021-05-01,user15@none,783,East,10
0000501288,13,2473029.72,2156502.75,2033632.71,2022-05-30,user16@mail.org,751,North,20
0000623990,42,3080262.12,2387286.97,2291650.78,2023-02-05,user17@test.co,537,unknown,10
0000299950,28,1220164.95,1105187.89,1148348.41,2022-12-17,user18@mail.org,396,North,5
0000742498,39,4596609.34,4046494.26,3805926.4,2022-03-03,user19@example.com,681,North,25
0000199753,32,4659252.94,4627783.67,4323847.76,2021-12-07,nan,850,East,10
0000190970,23,4532877.49,3185854.63,3278131.13,2021-03-27,user21@mail.org,300,South,25
0000905350,14,507547.38,423859.8,402486.47,2022-06-21,user22@none,866,unknown,20
0000756681,31,1477364.52,1038667.38,988165.96,2021-08-28,user23@example.com,486,West,25
0000390693,16,3940745.6,3765534.96,3460489.13,2023-09-27,user24@test.co,625,South,20
0000348720,18,1890660.21,1362386.96,1320307.22,2023-09-27,user25@mail.org,492,West,25
0000557404,20,3672318.14,3227883.03,3279481.51,2022-12-02,user26@none,583,East,30
0000021747,45,4980282.26,4302553.19,4587077.24,2021-11-02,user27@example.com,739,South,5
0000591325,36,2630630.05,1862826.08,1828976.01,2022-07-15,user28@mail.org,359,East,25
0000814845,16,2509897.84,1920226.52,2006973.2,2023-03-31,user29@example.com,517,North,15
0000431080,15,1417285.56,1355594.4,1277200.94,2023-03-13,nan,900,South,15
0000580350,30,2586261.04,2062867.09,2239571.78,2021-04-11,user31@example.com,900,West,5
0000889098,15,667780.44,627945.9,681951.34,2021-03-31,user32@mail.org,884,South,5
0000088575,14,4692983.74,3832634.21,3665316.15,2022-05-25,user33@test.co,421,North,20
0000821516,39,2514537.53,1786314.76,1897688.09,2022-08-13,user34@example.com,709,West,30
0000974443,25,2567670.36,1990599.52,1872605.23,2021-10-04,user35@mail.org,359,South,30
0000259388,36,1729854.63,1528843.08,1602228.31,2023-04-08,user36@test.co,625,South,30
0000830642,11,2008501.58,1578025.76,1554049.04,2023-09-03,user37@test.co,777,South,15
0000532958,21,3863403.65,2854525.95,2637979.9,2023-06-07,user38@mail.org,775,South,10
0000088876,25,2113764.44,1662948.99,1745049.01,2021-02-20,user39@mail.org,708,West,30
0000760589,28,1717074.0,1536243.36,1416462.99,2021-04-07,nan,729,North,25
0000421663,35,1805189.78,1727440.53,1574827.44,2022-10-27,user41@test.co,356,West,30
0000136569,38,4850230.99,3831136.48,3915072.58,2022-11-01,user42@mail.org,865,South,25
0000743647,30,2259078.43,2086142.77,2026799.09,2022-08-22,user43@none,674,East,5
0000529356,36,1015595.66,944217.46,945896.97,2021-09-08,user44@test.co,877,West,30
0000864241,43,381476.42,350862.64,356424.47,2021-09-25,user45@test.co,816,East,10
0000266141,14,4580744.58,3389802.57,3592276.75,2021-02-04,user46@none,900,North,20
0000574253,41,3345433.13,2849182.2,2965919.46,2021-11-11,user47@mail.org,761,West,10
0000920582,43,3487320.32,2786093.62,2772671.96,2021-03-26,user48@mail.org,300,unknown,5
0000551851,11,2752773.49,2248138.94,2242102.82,2021-11-02,user49@example.com,510,unknown,30
0000202847,39,4238253.54,3922622.23,3657574.01,2021-09-05,nan,711,unknown,15
0000827246,11,406960.65,325416.11,314339.36,2022-08-19,user51@mail.org,641,North,25
0000899392,28,521425.78,375336.51,350987.85,2021-07-01,user52@example.com,555,East,5
0000820034,27,1735742.16,1719597.25,1851879.82,2021-09-29,user53@none,466,North,15
0000329310,18,2666533.39,2579451.82,2674795.03,2022-10-25,user54@example.com,388,East,15
0000242819,42,1951758.33,1941079.82,1810843.05,2022-07-31,user55@example.com,808,West,10
0000156940,33,305071.86,254853.16,247663.47,2023-07-21,user56@mail.org,619,South,10
0000417149,20,4725839.57,4263740.76,4010580.7,2021-08-12,user57@test.co,300,North,30
0000209773,31,1635659.8,1606244.73,1614164.82,2022-06-23,user58@mail.org,477,North,20
0000405627,19,489237.11,361580.67,337621.25,2023-01-13,user59@test.co,426,East,5
0000552776,39,424551.0,338020.44,352231.72,2023-08-14,nan,576,East,5
0000811190,37,4005861.66,3767761.46,4032460.82,2021-04-13,user61@example.com,889,South,25
0000137373,24,3399710.28,2383035.47,2454913.13,2021-05-06,user62@example.com,882,South,10
0000260204,35,4589944.26,3690073.87,3544350.51,2023-01-10,user63@mail.org,891,South,20
0000828425,18,779646.02,671229.84,623304.3,2023-06-20,user64@mail.org,749,North,30
0000999065,32,645348.29,571949.31,516656.22,2022-01-09,user65@none,649,unknown,20
0000047456,38,1738301.66,1646612.28,1623416.38,2022-12-21,user66@example.com,888,North,10
0000960043,28,1448511.39,1431154.24,1506131.69,2022-04-06,user67@example.com,586,unknown,15
0000196047,41,1087797.61,1040975.38,1053298.93,2022-06-12,user68@example.com,360,North,20
0000328507,36,141619.36,128361.9,134784.03,2023-08-13,user69@example.com,476,unknown,15
0000687832,30,1260229.37,1088166.65,1018055.46,2022-01-28,nan,791,South,10
0000868300,13,2590530.48,2163896.24,2039278.05,2021-12-12,user71@none,869,North,20
0000126884,15,245804.45,219727.96,241606.2,2022-10-01,user72@none,659,unknown,25
0000900404,41,2080868.3,1646047.65,1655762.96,2023-01-01,user73@test.co,303,South,20
0000078758,44,2362741.55,1987689.24,1854628.46,2023-06-02,user74@test.co,660,North,25
0000347850,39,4010869.06,3979223.94,3930295.1,2021-03-23,user75@none,424,unknown,10
0000739095,25,2675225.88,2411157.76,2318544.33,2022-03-13,user76@test.co,454,West,5
0000171972,11,1460972.2,1026976.6,1075708.45,2021-09-05,user77@mail.org,507,East,5
0000783010,22,2627701.86,2252070.62,2445273.21,2021-11-18,user78@example.com,543,South,30
0000597487,42,4398186.36,3558678.54,3781090.09,2023-03-04,user79@none,724,East,15
0000177806,37,412499.38,320522.43,291434.25,2022-08-24,nan,688,unknown,10
0000273199,29,3770607.6,2939247.19,3045511.74,2022-12-03,user81@test.co,815,unknown,5
0000532504,32,2221933.36,1613604.65,1686021.35,2022-12-03,user82@none,556,South,20
0000266952,27,463261.94,390951.6,382828.93,2021-08-13,user83@mail.org,900,North,5
0000238304,36,2998150.04,2574019.16,2695266.51,2021-12-21,user84@none,427,South,15
0000254262,33,1706684.04,1505602.67,1610377.78,2022-05-10,user85@test.co,541,West,30
0000077532,11,4611468.3,4323570.09,4452972.29,2023-03-17,user86@mail.org,746,South,5
0000689749,24,3392190.79,3037343.0,2986692.62,2022-11-19,user87@none,617,South,15
0000545438,33,776680.4,575917.06,621812.75,2022-01-18,user88@mail.org,669,East,25
0000604940,44,4843837.47,4432198.68,4374349.38,2022-11-20,user89@test.co,338,East,10
0000997796,44,4731757.54,4381557.07,4681187.96,2023-08-07,nan,359,East,15
0000299888,26,1905368.43,1347070.05,1339274.14,2023-05-21,user91@none,731,North,5
0000599592,41,152219.25,127205.61,118386.22,2022-06-02,user92@test.co,816,unknown,5
0000921666,21,3412963.25,3329147.25,3461201.13,2021-04-30,user93@test.co,474,East,20
0000586937,39,2227161.86,1884772.2,1988525.82,2023-08-05,user94@none,560,North,25
0000993898,19,997648.38,912953.8,887621.56,2021-05-23,user95@mail.org,900,East,10
0000252884,14,2824011.14,2513769.67,2696461.49,2022-07-24,user96@test.co,428,West,20
0000419734,39,842883.86,729664.41,674629.23,2023-04-13,user97@none,631,unknown,25
0000499500,27,195449.94,192435.73,208265.49,2021-02-25,user98@example.com,300,South,10
0000706408,33,2806903.04,2143763.91,2172926.57,2022-01-17,user99@none,300,unknown,5
