loan_id,dob,loan_amt_raw,approved_amt,disbursed_amt,app_date,email_raw,credit_raw,region_raw,tenure_months
000853253,2008-10-01,1547579.77,1142820.16,1136583.04,16/08/2021,,808,North,240
000986626,2006-06-06,1813384.69,1596660.14,1623259.64,10/03/2021,user1@None,361,,180
0080945,2007-08-01,2672036.77,1943821.06,1880519.8,02/09/2023,user2@None,633,,240
00790023,1991-07-09,221650.51,186884.92,187223.23,03/02/2021,user3@example.com,266,South,180
00573751,1993-09-10,2607593.29,2173970.91,2357651.09,01/01/2023,user4@None,538,East,180
000020695,1995-05-28,3538611.99,2536490.32,2390278.68,26/01/2021,user5@example.com,686,North,120
0257291,2013-01-16,4917100.16,3880661.79,4146472.12,09/11/2022,user6@None,265,North,120
137872,2002-12-28,3469801.22,3359403.03,3603490.22,13/05/2021,user7@test.co,948,South,360
00977694,2000-03-30,2107526.01,1635630.94,1538732.2,24/03/2023,user8@test.co,926,East,360
000939159,1994-01-22,3943148.29,3471262.5,3552708.65,13/06/2021,user9@mail.org,397,South,240
000392157,1987-12-17,4025433.19,2958772.4,3228016.03,29/08/2021,,586,South,240
764491,1990-10-22,4052595.17,3216956.23,2959281.32,27/10/2022,user11@None,474,,240
095215,2005-11-20,1089581.36,972218.74,886902.79,28/02/2023,user12@test.co,583,North,240
000898284,2008-08-14,1620854.09,1401314.09,1534777.24,12/08/2022,user13@test.co,598,East,240
457257,2003-07-24,1961043.5,1568141.31,1462603.0,30/10/2022,user14@None,856,,240
0441976,2008-09-05,528302.28,387214.48,362981.09,01/05/2021,user15@None,783,East,120
00501288,2012-04-27,2473029.72,2156502.75,2033632.71,30/05/2022,user16@mail.org,751,North,240
00623990,1983-06-23,3080262.12,2387286.97,2291650.78,05/02/2023,user17@test.co,537,,120
00299950,1997-06-19,1220164.95,1105187.89,1148348.41,17/12/2022,user18@mail.org,396,North,60
742498,1986-02-08,4596609.34,4046494.26,3805926.4,03/03/2022,user19@example.com,681,North,300
000199753,1993-05-12,4659252.94,4627783.67,4323847.76,07/12/2021,,850,East,120
000190970,2002-01-09,4532877.49,3185854.63,3278131.13,27/03/2021,user21@mail.org,279,South,300
0905350,2011-07-13,507547.38,423859.8,402486.47,21/06/2022,user22@None,866,,240
0756681,1994-06-25,1477364.52,1038667.38,988165.96,28/08/2021,user23@example.com,486,West,300
390693,2009-06-12,3940745.6,3765534.96,3460489.13,27/09/2023,user24@test.co,625,South,240
00348720,2007-10-15,1890660.21,1362386.96,1320307.22,27/09/2023,user25@mail.org,492,West,300
000557404,2005-05-17,3672318.14,3227883.03,3279481.51,02/12/2022,user26@None,583,East,360
021747,1980-11-12,4980282.26,4302553.19,4587077.24,02/11/2021,user27@example.com,739,South,60
000591325,1989-02-08,2630630.05,1862826.08,1828976.01,15/07/2022,user28@mail.org,359,East,300
000814845,2009-07-03,2509897.84,1920226.52,2006973.2,31/03/2023,user29@example.com,517,North,180
000431080,2010-09-10,1417285.56,1355594.4,1277200.94,13/03/2023,,910,South,180
580350,1995-07-24,2586261.04,2062867.09,2239571.78,11/04/2021,user31@example.com,948,West,60
00889098,2010-05-04,667780.44,627945.9,681951.34,31/03/2021,user32@mail.org,884,South,60
000088575,2011-08-30,4692983.74,3832634.21,3665316.15,25/05/2022,user33@test.co,421,North,240
0821516,1986-04-21,2514537.53,1786314.76,1897688.09,13/08/2022,user34@example.com,709,West,360
974443,2000-09-01,2567670.36,1990599.52,1872605.23,04/10/2021,user35@mail.org,359,South,360
000259388,1989-02-18,1729854.63,1528843.08,1602228.31,08/04/2023,user36@test.co,625,South,360
830642,2014-02-07,2008501.58,1578025.76,1554049.04,03/09/2023,user37@test.co,777,South,180
00532958,2004-11-21,3863403.65,2854525.95,2637979.9,07/06/2023,user38@mail.org,775,South,120
00088876,2000-09-22,2113764.44,1662948.99,1745049.01,20/02/2021,user39@mail.org,708,West,360
000760589,1997-08-12,1717074.0,1536243.36,1416462.99,07/04/2021,,729,North,300
421663,1990-05-29,1805189.78,1727440.53,1574827.44,27/10/2022,user41@test.co,356,West,360
136569,1987-04-26,4850230.99,3831136.48,3915072.58,01/11/2022,user42@mail.org,865,South,300
0743647,1995-05-07,2259078.43,2086142.77,2026799.09,22/08/2022,user43@None,674,East,60
529356,1989-11-02,1015595.66,944217.46,945896.97,08/09/2021,user44@test.co,877,West,360
000864241,1982-08-28,381476.42,350862.64,356424.47,25/09/2021,user45@test.co,816,East,120
00266141,2011-10-15,4580744.58,3389802.57,3592276.75,04/02/2021,user46@None,919,North,240
000574253,1984-01-11,3345433.13,2849182.2,2965919.46,11/11/2021,user47@mail.org,761,West,120
0920582,1982-03-12,3487320.32,2786093.62,2772671.96,26/03/2021,user48@mail.org,284,,60
0551851,2014-08-11,2752773.49,2248138.94,2242102.82,02/11/2021,user49@example.com,510,,360
00202847,1986-03-27,4238253.54,3922622.23,3657574.01,05/09/2021,,711,,180
00827246,2014-05-17,406960.65,325416.11,314339.36,19/08/2022,user51@mail.org,641,North,300
899392,1997-12-04,521425.78,375336.51,350987.85,01/07/2021,user52@example.com,555,East,60
0820034,1998-05-20,1735742.16,1719597.25,1851879.82,29/09/2021,user53@None,466,North,180
329310,2007-01-16,2666533.39,2579451.82,2674795.03,25/10/2022,user54@example.com,388,East,180
00242819,1983-03-12,1951758.33,1941079.82,1810843.05,31/07/2022,user55@example.com,808,West,120
00156940,1992-09-08,305071.86,254853.16,247663.47,21/07/2023,user56@mail.org,619,South,120
417149,2005-08-08,4725839.57,4263740.76,4010580.7,12/08/2021,user57@test.co,275,North,360
000209773,1994-11-30,1635659.8,1606244.73,1614164.82,23/06/2022,user58@mail.org,477,North,240
0405627,2006-07-07,489237.11,361580.67,337621.25,13/01/2023,user59@test.co,426,East,60
0552776,1986-05-10,424551.0,338020.44,352231.72,14/08/2023,,576,East,60
000811190,1988-12-08,4005861.66,3767761.46,4032460.82,13/04/2021,user61@example.com,889,South,300
000137373,2001-07-29,3399710.28,2383035.47,2454913.13,06/05/2021,user62@example.com,882,South,120
00260204,1990-09-13,4589944.26,3690073.87,3544350.51,10/01/2023,user63@mail.org,891,South,240
0828425,2007-11-28,779646.02,671229.84,623304.3,20/06/2023,user64@mail.org,749,North,360
000999065,1993-04-17,645348.29,571949.31,516656.22,09/01/2022,user65@None,649,,240
0047456,1987-03-17,1738301.66,1646612.28,1623416.38,21/12/2022,user66@example.com,888,North,120
000960043,1997-11-04,1448511.39,1431154.24,1506131.69,06/04/2022,user67@example.com,586,,180
000196047,1984-12-25,1087797.61,1040975.38,1053298.93,12/06/2022,user68@example.com,360,North,240
00328507,1989-10-25,141619.36,128361.9,134784.03,13/08/2023,user69@example.com,476,,180
0687832,1995-06-27,1260229.37,1088166.65,1018055.46,28/01/2022,,791,South,120
000868300,2012-01-09,2590530.48,2163896.24,2039278.05,12/12/2021,user71@None,869,North,240
126884,2010-05-08,245804.45,219727.96,241606.2,01/10/2022,user72@None,659,,300
0900404,1984-02-02,2080868.3,1646047.65,1655762.96,01/01/2023,user73@test.co,303,South,240
000078758,1981-06-10,2362741.55,1987689.24,1854628.46,02/06/2023,user74@test.co,660,North,300
000347850,1986-04-06,4010869.06,3979223.94,3930295.1,23/03/2021,user75@None,424,,120
00739095,2000-05-23,2675225.88,2411157.76,2318544.33,13/03/2022,user76@test.co,454,West,60
0171972,2014-10-01,1460972.2,1026976.6,1075708.45,05/09/2021,user77@mail.org,507,East,60
000783010,2003-02-04,2627701.86,2252070.62,2445273.21,18/11/2021,user78@example.com,543,South,360
000597487,1983-12-14,4398186.36,3558678.54,3781090.09,04/03/2023,user79@None,724,East,180
